,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
479,1,1,77,1,6,5,3,1,37,1,6,5,1
480,1,1,43,4,99,7,3,1,36,2,2,10,1
481,1,1,74,3,6,7,3,1,6,10,6,12,1
482,1,2,80,3,6,7,2,1,39,12,3,5,1
483,1,1,65,3,6,7,2,1,36,2,6,19,1
484,3,1,46,4,3,3,2,0,35,10,6,20,0
485,1,1,68,2,4,5,2,1,24,-9,2,7,1
486,1,2,80,1,4,6,2,1,59,1,2,4,1
487,3,2,63,3,5,5,2,0,6,12,2,20,1
488,3,2,45,4,99,1,2,0,6,12,6,21,0
489,1,1,69,2,6,7,2,1,53,1,7,16,1
490,1,1,65,4,3,3,2,0,36,1,4,20,0
491,1,2,73,1,3,1,2,0,18,2,8,5,0
492,1,2,69,4,99,4,3,1,6,2,6,1,1
493,1,1,80,3,6,7,2,1,59,3,6,-9,1
494,3,2,30,4,99,2,4,0,6,12,6,16,0
495,1,1,34,2,6,7,3,1,37,11,2,7,1
496,1,2,38,4,1,1,1,0,42,9,6,15,0
497,1,1,80,3,6,7,3,1,34,5,7,21,1
498,1,1,68,3,2,1,1,0,36,5,8,19,0
499,1,1,36,1,5,5,2,1,16,12,4,18,1
500,1,1,68,3,2,1,1,0,6,9,3,13,0
501,1,1,64,1,6,6,2,1,13,1,2,9,1
502,1,1,40,2,4,5,2,1,34,11,6,10,1
503,1,1,52,2,3,3,2,0,36,12,6,15,0
504,5,1,43,3,2,3,2,0,6,10,6,17,0
505,1,2,55,3,99,2,3,1,17,2,4,15,0
506,1,2,46,4,2,1,2,0,37,12,7,19,0
507,1,1,56,3,99,2,3,0,34,2,3,15,0
508,2,1,36,3,4,1,2,0,6,12,3,17,0
509,1,2,41,2,3,1,3,0,56,11,6,18,0
510,1,1,64,2,3,1,2,0,37,9,6,11,0
511,1,1,29,3,4,5,2,0,27,1,2,3,1
512,3,2,40,4,4,2,2,0,6,2,3,1,0
513,1,1,37,3,2,1,2,0,26,11,7,18,0
514,2,2,56,4,4,1,2,0,42,11,5,4,0
515,3,1,80,2,5,1,2,0,-9,2,2,5,0
516,2,1,40,3,99,1,2,0,11,11,3,7,0
517,1,2,40,2,3,3,4,0,36,11,3,10,0
518,1,1,36,2,5,5,3,1,18,12,4,19,1
519,2,1,22,2,99,1,1,0,13,12,3,1,0
520,1,2,66,3,2,2,2,0,17,12,6,13,0
521,1,2,30,1,2,1,2,0,53,12,3,17,0
522,1,1,69,3,6,5,2,1,18,11,3,-9,1
523,3,2,39,2,2,3,1,0,35,10,6,13,0
524,1,1,77,3,99,7,2,1,39,1,6,9,1
525,1,2,80,2,6,6,3,1,42,1,2,12,1
526,1,2,67,3,4,1,1,0,36,2,4,9,0
527,3,1,60,3,1,1,1,0,36,11,8,21,0
528,1,1,73,4,2,1,2,0,17,2,8,11,0
529,1,1,35,3,5,5,2,1,6,12,3,22,1
530,1,1,20,2,5,7,1,1,19,1,3,7,1
531,1,2,80,3,6,7,1,1,36,2,6,22,1
532,1,1,64,3,6,5,1,1,12,1,6,17,1
533,3,1,77,4,5,5,2,1,12,5,3,9,1
534,1,1,54,2,6,7,2,1,55,1,2,19,1
535,1,2,56,3,4,3,3,0,6,9,7,14,0
536,1,2,39,2,6,7,3,1,12,1,6,1,1
537,1,2,64,3,5,6,2,0,34,2,6,15,1
538,1,2,48,2,6,7,2,1,28,11,7,10,1
539,1,1,58,2,3,3,1,0,25,10,3,18,0
540,1,1,76,1,4,4,1,0,48,10,8,4,0
541,1,1,31,4,1,1,1,0,13,9,7,22,0
542,2,2,52,1,4,7,2,1,22,2,2,11,1
543,1,1,70,2,7,7,1,1,31,1,6,13,1
544,5,2,43,4,1,2,3,0,34,12,3,1,0
545,2,1,47,2,6,6,3,1,18,11,3,8,1
546,1,1,71,4,2,1,2,0,55,12,6,15,0
547,3,1,22,1,4,2,2,0,48,3,3,16,0
548,2,1,52,4,3,2,2,0,39,1,6,15,0
549,1,1,66,2,2,1,2,0,17,5,6,8,0
550,1,2,48,2,7,7,3,1,47,1,3,1,1
551,2,2,32,4,2,1,2,0,25,3,7,1,0
552,6,1,73,1,7,7,2,1,6,1,8,10,1
553,1,2,39,2,3,1,3,0,27,1,6,21,0
554,1,2,60,4,1,1,2,0,36,12,95,11,0
555,1,1,24,4,4,5,3,1,6,11,3,19,1
556,1,2,61,3,99,7,2,1,39,2,2,22,1
557,1,1,70,2,4,4,3,1,8,4,2,3,0
558,6,1,29,3,2,1,3,0,25,9,6,18,0
559,1,1,59,1,5,5,2,1,53,11,2,2,1
560,1,1,51,2,6,5,2,1,25,12,2,3,1
561,1,2,43,2,2,1,3,0,26,2,5,5,0
562,1,2,60,1,99,7,3,1,42,11,2,13,1
563,1,2,66,2,7,7,3,1,1,11,4,15,1
564,1,2,27,2,4,3,2,0,5,9,3,11,0
565,1,2,29,4,2,1,2,0,36,9,6,22,0
566,3,1,32,4,5,5,3,1,48,1,8,11,1
567,1,1,71,1,7,7,2,1,48,4,3,22,1
568,1,1,37,3,3,5,2,0,19,12,6,22,0
569,1,2,62,1,6,5,2,1,55,2,7,19,1
570,2,2,55,3,4,2,2,0,28,11,3,1,0
571,3,1,31,3,4,1,2,0,34,2,6,19,0
572,1,1,47,2,6,7,3,1,37,1,6,15,1
573,1,1,61,3,5,6,2,1,17,10,3,15,1
574,3,1,53,4,4,5,3,3,12,1,4,1,1
575,1,2,54,3,2,1,1,0,25,11,4,18,0
576,1,2,66,1,7,7,2,1,39,11,4,-9,1
577,4,1,57,2,99,6,2,1,37,1,4,16,1
578,4,1,33,3,1,1,2,0,55,6,8,13,0
579,1,1,80,2,7,7,1,1,18,1,3,4,1
580,1,1,41,3,4,4,3,0,49,4,6,22,0
581,1,1,55,4,4,2,2,0,18,1,6,20,0
582,6,1,35,4,4,5,2,2,48,11,7,20,0
583,6,2,36,2,2,1,2,0,6,11,3,1,0
584,1,1,65,3,7,7,1,1,20,1,3,5,1
585,1,2,37,2,6,1,3,1,29,11,6,11,0
586,1,1,70,4,3,7,2,1,42,1,6,19,1
587,1,2,80,1,99,6,2,0,17,1,7,15,1
588,1,2,66,4,1,1,3,0,25,3,5,10,0
589,2,2,59,3,4,1,2,0,28,1,7,16,0
590,3,1,72,4,4,4,2,0,59,2,3,20,0
591,4,2,39,1,7,7,2,1,59,2,6,14,1
592,1,2,69,4,6,7,2,1,41,2,3,19,1
593,1,2,37,3,3,2,2,0,51,12,8,19,0
594,1,2,67,3,2,1,2,0,42,11,7,21,0
595,1,1,28,2,99,4,4,1,27,12,4,15,1
596,1,2,42,2,4,7,2,1,45,11,4,9,1
597,1,2,73,2,3,1,3,0,50,10,2,10,0
598,1,2,42,2,2,4,2,0,45,12,2,18,0
599,1,1,34,4,2,1,1,0,6,9,7,21,0
600,2,2,36,4,2,2,2,0,45,11,6,6,0
601,3,2,26,1,6,5,1,1,16,11,2,22,1
602,3,2,53,3,6,1,3,0,59,12,2,-9,0
603,1,2,37,2,1,3,2,0,19,9,7,9,0
604,1,1,48,3,5,1,1,0,6,11,6,17,0
605,1,1,68,2,3,1,1,0,40,11,5,16,0
606,1,1,73,4,3,3,2,0,42,9,95,-9,0
607,1,2,57,1,6,7,3,1,38,1,5,21,1
608,1,1,70,1,5,4,1,2,26,1,3,4,1
609,3,2,47,4,4,6,3,1,59,1,5,13,1
610,1,2,66,1,2,7,2,1,51,11,3,5,1
611,1,2,73,4,5,5,2,1,18,1,3,22,1
612,1,2,42,3,5,6,2,0,17,2,5,21,1
613,1,1,65,2,3,1,2,0,34,2,6,19,0
614,5,1,61,4,2,1,1,1,25,3,7,18,0
615,3,1,24,4,3,3,2,0,12,12,3,10,0
616,1,1,46,3,3,2,2,0,41,1,6,19,0
617,1,2,48,2,6,5,2,1,20,12,3,5,1
618,1,2,61,3,5,4,1,0,34,5,6,11,0
619,1,2,33,2,6,6,3,1,40,1,3,3,1
620,3,2,35,4,2,2,2,0,26,1,5,10,0
621,1,2,56,2,99,7,2,1,45,11,2,10,1
622,1,1,65,3,6,5,1,0,25,1,6,9,1
623,1,2,45,1,7,7,3,1,37,11,7,3,1
624,4,1,74,4,2,3,2,0,6,7,8,13,0
625,1,1,54,1,4,2,3,0,26,11,2,15,0
626,1,2,45,4,5,7,2,1,47,11,3,10,1
627,1,2,46,3,3,1,2,0,6,1,6,21,0
628,1,1,51,2,6,7,2,1,42,1,3,18,1
629,1,1,68,4,2,1,2,0,34,9,8,1,0
630,1,2,42,4,2,3,2,0,34,5,7,20,0
631,1,1,66,1,3,2,1,0,17,1,2,9,0
632,1,2,58,4,2,1,1,0,36,11,95,2,0
633,1,1,58,1,6,7,1,1,34,1,3,22,1
634,1,1,70,2,6,5,1,1,6,2,3,4,1
635,1,1,67,3,4,1,2,0,59,6,2,10,0
636,4,1,73,2,4,1,3,1,59,11,6,17,0
637,1,1,49,3,3,2,2,0,39,11,3,2,0
638,1,1,42,4,2,2,3,0,8,12,1,18,0
639,3,2,27,3,99,1,2,0,48,12,4,10,0
640,1,2,70,4,2,1,1,0,36,1,7,17,0
641,1,2,80,4,4,1,1,0,6,2,6,22,0
642,1,2,33,2,1,1,1,0,48,1,6,17,0
643,1,1,52,3,4,7,2,1,26,3,2,10,1
644,1,1,37,3,4,4,2,1,29,1,6,-9,0
645,1,2,71,1,6,7,2,1,47,11,3,14,1
646,1,1,80,4,6,7,2,1,6,1,3,12,1
647,1,1,57,3,99,3,2,0,1,6,6,4,0
648,1,1,72,1,6,7,1,1,42,2,7,15,1
649,3,1,49,3,4,2,2,0,36,2,3,20,0
650,1,2,32,4,2,1,1,0,48,12,7,15,0
651,1,2,28,4,2,1,1,0,48,10,6,14,0
652,1,1,57,3,6,5,3,1,41,1,7,21,1
653,4,2,32,1,3,2,2,0,59,3,6,17,0
654,1,1,42,2,3,1,2,0,55,10,6,10,0
655,1,2,66,2,3,3,2,0,30,11,7,17,0
656,1,2,72,2,4,3,2,0,6,1,5,1,0
657,3,2,20,4,3,2,3,0,32,5,2,8,0
658,1,2,76,4,99,5,2,0,42,1,2,-9,1
659,6,1,21,3,3,3,2,0,55,2,3,16,0
