,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
111,1,2,34,4,2,3,2,0,42,11,6,10,0
112,1,1,51,2,1,2,1,0,27,9,7,22,0
113,1,1,71,4,2,1,1,0,29,10,6,5,0
114,6,2,54,4,1,3,1,0,9,10,3,10,0
115,1,2,66,4,6,7,2,1,51,1,7,14,1
116,1,2,63,1,4,1,1,0,36,11,6,22,0
117,1,2,27,3,2,6,3,1,47,12,6,2,1
118,1,2,50,3,3,3,3,0,24,12,7,11,0
119,1,2,51,2,3,2,2,0,53,1,6,10,0
120,1,2,65,3,6,5,4,1,36,1,5,10,1
121,1,1,59,2,4,2,3,1,34,2,2,20,0
122,1,1,51,1,99,2,3,1,21,11,4,12,0
123,1,2,26,4,1,3,2,2,6,12,5,5,0
124,1,1,54,2,4,6,2,0,18,1,4,15,1
125,1,2,68,3,99,1,1,0,34,1,2,21,0
126,1,1,37,2,6,7,2,1,22,12,3,1,1
127,1,2,28,4,5,5,2,2,38,12,3,13,1
128,1,1,76,3,4,5,2,0,55,2,7,19,0
129,1,1,66,2,6,7,2,1,25,1,6,20,1
130,1,2,78,4,2,1,1,0,6,1,7,20,0
131,1,1,46,4,1,1,1,0,17,9,3,22,0
132,1,2,36,3,2,2,2,0,10,12,6,22,0
133,1,2,62,4,5,5,2,1,-9,4,5,8,1
134,1,1,73,4,5,5,2,1,29,1,6,16,1
135,1,2,31,4,6,7,2,1,48,11,3,11,1
136,2,1,30,4,3,4,2,0,22,11,6,15,0
137,1,2,69,1,7,7,2,1,42,1,95,-9,1
138,1,1,34,4,4,2,2,0,27,11,6,6,0
139,1,2,56,3,3,2,1,0,39,11,95,22,0
140,2,1,66,3,99,1,1,0,17,1,8,-9,0
141,1,2,80,2,7,7,1,1,53,1,2,10,1
142,1,1,51,4,2,2,2,0,36,12,2,4,0
143,1,2,65,1,5,2,2,1,18,1,3,14,0
144,1,1,65,2,6,7,2,1,17,3,2,1,1
145,1,2,33,3,6,6,2,1,8,2,6,13,1
146,1,2,67,4,1,1,2,0,6,9,7,20,0
147,1,1,78,4,4,1,2,0,42,1,6,8,0
148,1,1,38,4,3,7,2,1,59,7,8,9,1
149,1,2,66,2,1,1,1,0,18,12,3,2,0
150,1,1,60,2,2,1,2,0,19,1,4,21,0
151,2,1,60,3,4,1,3,0,27,1,7,17,0
152,3,1,50,3,6,7,1,1,48,2,7,1,1
153,5,2,47,2,2,4,2,0,41,9,6,2,0
154,1,2,80,2,6,7,2,1,51,1,5,13,1
155,1,2,63,3,99,1,4,0,29,2,4,7,0
156,1,2,26,2,7,7,1,1,40,1,4,2,1
157,1,2,73,1,2,3,1,0,27,11,3,4,0
158,1,2,64,4,2,1,1,0,6,12,6,11,0
159,1,2,21,3,1,3,2,0,34,11,3,16,0
160,1,1,27,4,2,2,3,0,17,10,3,9,0
161,1,1,73,1,99,7,2,1,48,11,1,6,1
162,2,2,53,1,1,1,3,0,1,11,4,1,0
163,1,1,71,4,6,7,2,1,6,12,6,12,1
164,1,2,45,2,3,3,2,0,29,1,7,9,0
165,1,2,32,3,4,2,2,0,26,3,7,21,0
166,1,1,62,4,5,7,1,1,22,2,8,16,1
167,1,1,80,3,6,6,3,1,1,1,3,11,1
